Charmrun> scalable start enabled. 
Charmrun> started all node programs in 0.008 seconds.
Charm++> Running in non-SMP mode: numPes 10
Converse/Charm++ Commit ID: v6.7.0-503-g4facdc6f2
Charm++> scheduler running in netpoll mode.
CharmLB> Load balancer assumes all CPUs are same.
Charm++> Running on 1 unique compute nodes (8-way SMP).
Charm++> cpu topology info is gathered in 0.010 seconds.
[Main] Library array created and proxy obtained
10 has 1 buffer msgs
[Main] Inverted trees constructed. Notify library to perform components detection
[Main] Components identified, prune unecessary ones now
[tp0] myVertices[0] - vertexID: 1, parent: 2, component: 134
[tp0] myVertices[1] - vertexID: 2, parent: 3, component: 134
[tp0] myVertices[2] - vertexID: 3, parent: 5, component: 134
[tp0] myVertices[3] - vertexID: 4, parent: 10, component: 134
[tp0] myVertices[4] - vertexID: 5, parent: 4, component: 134
[tp0] myVertices[5] - vertexID: 6, parent: 11, component: 134
[tp0] myVertices[6] - vertexID: 7, parent: 12, component: 134
[tp0] myVertices[7] - vertexID: 8, parent: 9, component: 134
[tp3] myVertices[0] - vertexID: 1723, parent: -1, component: -1
[tp3] myVertices[1] - vertexID: 1724, parent: 1725, component: 1727
[tp3] myVertices[2] - vertexID: 1725, parent: 1726, component: 1727
[tp3] myVertices[3] - vertexID: 1726, parent: 1727, component: 1727
[tp3] myVertices[4] - vertexID: 1727, parent: -1, component: 1727
[tp3] myVertices[5] - vertexID: 1728, parent: 1729, component: 1742
[tp3] myVertices[6] - vertexID: 1729, parent: 1730, component: 1742
[tp3] myVertices[7] - vertexID: 1730, parent: 1732, component: 1742
[tp3] myVertices[8] - vertexID: 1731, parent: 1735, component: 1742
[tp3] myVertices[9] - vertexID: 1732, parent: 1731, component: 1742
[tp4] myVertices[0] - vertexID: 2297, parent: 2298, component: 2303
[tp4] myVertices[1] - vertexID: 2298, parent: 2299, component: 2303
[tp4] myVertices[2] - vertexID: 2299, parent: 2300, component: 2303
[tp4] myVertices[3] - vertexID: 2300, parent: 2301, component: 2303
[tp4] myVertices[4] - vertexID: 2301, parent: 2302, component: 2303
[tp4] myVertices[5] - vertexID: 2302, parent: 2303, component: 2303
[tp4] myVertices[6] - vertexID: 2303, parent: -1, component: 2303
[tp4] myVertices[7] - vertexID: 2304, parent: -1, component: -1
[tp4] myVertices[8] - vertexID: 2305, parent: 2306, component: -1
[tp4] myVertices[9] - vertexID: 2306, parent: -1, component: -1
[tp0] myVertices[8] - vertexID: 9, parent: 13, component: 134
[tp0] myVertices[9] - vertexID: 10, parent: 6, component: 134
[tp0] myVertices[10] - vertexID: 11, parent: 7, component: 134
[tp0] myVertices[11] - vertexID: 12, parent: 14, component: 134
[tp0] myVertices[12] - vertexID: 13, parent: 17, component: 134
[tp0] myVertices[13] - vertexID: 14, parent: 8, component: 134
[tp0] myVertices[14] - vertexID: 15, parent: 16, component: 134
[tp0] myVertices[15] - vertexID: 16, parent: 18, component: 134
[tp0] myVertices[16] - vertexID: 17, parent: 15, component: 134
[tp0] myVertices[17] - vertexID: 18, parent: 19, component: 134
[tp3] myVertices[10] - vertexID: 1733, parent: 1736, component: 1742
[tp3] myVertices[11] - vertexID: 1734, parent: 1738, component: 1742
[tp3] myVertices[12] - vertexID: 1735, parent: 1733, component: 1742
[tp3] myVertices[13] - vertexID: 1736, parent: 1737, component: 1742
[tp3] myVertices[14] - vertexID: 1737, parent: 1739, component: 1742
[tp3] myVertices[15] - vertexID: 1738, parent: 1742, component: 1742
[tp3] myVertices[16] - vertexID: 1739, parent: 1734, component: 1742
[tp3] myVertices[17] - vertexID: 1740, parent: 1741, component: 1742
[tp3] myVertices[18] - vertexID: 1741, parent: 1742, component: 1742
[tp3] myVertices[19] - vertexID: 1742, parent: -1, component: 1742
[tp4] myVertices[10] - vertexID: 2307, parent: 2308, component: 2319
[tp4] myVertices[11] - vertexID: 2308, parent: 2312, component: 2319
[tp4] myVertices[12] - vertexID: 2309, parent: 2310, component: 2311
